,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,upernavik,72.7868,-56.1549,-2.22,88,100,2.03,GL,1619233749
1,bluff,-46.6,168.3333,11.11,90,64,0.45,NZ,1619233738
2,klaksvik,62.2266,-6.589,6.0,100,90,2.57,FO,1619233642
3,calabozo,8.9242,-67.4293,31.93,37,87,3.69,VE,1619233874
4,bambous virieux,-20.3428,57.7575,24.44,94,75,5.14,MU,1619233840
5,port hardy,50.6996,-127.4199,10.0,93,90,1.37,CA,1619233875
6,busselton,-33.65,115.3333,23.89,55,24,0.89,AU,1619233838
7,cape town,-33.9258,18.4232,15.0,82,0,4.63,ZA,1619233852
8,georgetown,5.4112,100.3354,28.0,94,40,2.06,MY,1619233875
9,saint-pierre,-21.3393,55.4781,24.0,73,0,4.12,RE,1619233761
10,luderitz,-26.6481,15.1594,16.78,78,3,3.33,NA,1619234004
11,mehamn,71.0357,27.8492,-0.03,72,99,6.42,NO,1619233915
12,yuli,9.6989,10.2744,26.72,64,100,3.79,NG,1619233875
13,mataura,-46.1927,168.8643,11.11,90,96,0.45,NZ,1619233797
14,hermanus,-34.4187,19.2345,12.78,90,97,0.89,ZA,1619233869
15,baykit,61.67,96.37,3.05,82,87,0.22,RU,1619233761
16,amapa,1.0,-52.0,22.22,99,100,0.5,BR,1619233876
17,butaritari,3.0707,172.7902,27.34,77,100,2.99,KI,1619233683
18,lebu,-37.6167,-73.65,11.58,89,86,4.74,CL,1619233649
19,talnakh,69.4865,88.3972,0.23,98,100,4.32,RU,1619234004
20,rikitea,-23.1203,-134.9692,26.12,74,100,6.62,PF,1619233876
21,barrow,71.2906,-156.7887,-2.0,74,1,1.54,US,1619233802
22,punta arenas,-53.15,-70.9167,6.0,93,75,1.03,CL,1619233613
23,arraial do cabo,-22.9661,-42.0278,22.72,80,41,6.24,BR,1619233877
24,bethel,41.3712,-73.414,10.0,53,1,2.57,US,1619234005
25,ushuaia,-54.8,-68.3,6.0,93,75,6.69,AR,1619233634
26,severo-kurilsk,50.6789,156.125,3.16,88,97,3.33,RU,1619233762
27,solnechnyy,50.7214,136.6319,5.97,43,73,4.88,RU,1619233877
28,albany,42.6001,-73.9662,7.22,50,3,2.74,US,1619233877
29,kavaratti,10.5669,72.642,29.17,67,39,2.32,IN,1619233763
30,saint-philippe,-21.3585,55.7679,25.0,69,0,4.63,RE,1619233884
31,biak,-0.9131,122.8766,26.99,76,93,1.74,ID,1619233878
32,sao gabriel da cachoeira,-0.1303,-67.0892,23.07,97,85,0.67,BR,1619233878
33,port alfred,-33.5906,26.891,17.9,74,0,6.42,ZA,1619233629
34,torbay,47.6666,-52.7314,3.89,100,90,7.2,CA,1619233529
35,fortuna,40.5982,-124.1573,10.56,93,40,1.14,US,1619233763
36,yatou,37.15,122.3833,10.38,89,100,7.33,CN,1619233878
37,eden,36.4885,-79.7667,8.33,81,1,1.92,US,1619233879
38,yar-sale,66.8333,70.8333,0.18,99,98,3.83,RU,1619233763
39,vaini,-21.2,-175.2,29.0,79,20,3.6,TO,1619233879
40,srostki,52.4189,85.7022,1.6,84,92,3.23,RU,1619233879
41,port elizabeth,-33.918,25.5701,13.0,100,90,2.57,ZA,1619233661
